Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
3138,SC3138,1,Simple Gap,South,"Piercing at least four of the ditches, though possibly not the innermost",null
3139,SC3139,1,Simple Gap,South,Through both ditches,null
3140,SC3140,1,Oblique,East,Elaborated with an additional ditch to increase the depth of the defences. Slightly oblique approach exposing left side,null
3140,SC3140,1,Simple Gap,East,null,null
3140,SC3140,2,Blocked,North,Possible gap blocked by the additional external ditch,null
3141,SC3141,1,Simple Gap,South,Shown on OS map in 1854,null
3141,SC3141,2,Simple Gap,North west,null,null
3143,SC3143,1,Simple Gap,East,"through inner rampart, hollow trackway up slope",null
3143,SC3143,2,Hollow Way,South east,NE spur of a bifurcating trackway crosses the inner rampart at right-angles,null
3143,SC3143,3,Hollow Way,South east,W spur of a bifurcating trackway crosses the inner rampart obliquely,null
3143,SC3143,4,Hollow Way,South,Plan unclear at the outer rampart,null
3143,SC3143,5,Hollow Way,South,Trackway from 4 passes obliquely through the inner rampart to expose the visitor's right side,null
3143,SC3143,6,Simple Gap,West,Approached circuitously by trackway leading up form 7,null
3143,SC3143,7,Hollow Way,North west,"Passes through the outer rampart, heading for the inner at 6",null
3144,SC3144,1,Simple Gap,North east,In innermost enclosure,null
3144,SC3144,2,Simple Gap,North east,"In Western Enclosure, in the wall separating it from the Eastern Enclosure",null
3144,SC3144,3,Simple Gap,South,"In large hilltop enclosure, entering the Eastern Enclosure, and approached by an engineered track",null
3144,SC3144,4,Simple Gap,South,Into the large outermost enclosure,null
3145,EN3145,1,Out-turned,West,null,null
3145,EN3145,1,Hollow Way,West,null,null
3146,EN3146,1,In-turned,South west,null,null
3147,EN3147,1,Other Forms,North west,null,null
3147,EN3147,2,Other Forms,South east,null,null
3148,EN3148,1,Other Forms,North west,Causeway across ditch,null
3149,EN3149,1,Other Forms,North west,Causeway,null
3152,EN3152,1,Simple Gap,East,null,null
3152,EN3152,2,Simple Gap,West,null,null
3155,EN3155,1,Simple Gap,West,null,null
3157,EN3157,1,Simple Gap,West,null,null
3158,EN3158,1,Simple Gap,North east,null,null
3158,EN3158,2,Simple Gap,East,null,null
3161,EN3161,1,In-turned,South east,null,null
3161,EN3161,2,Simple Gap,North west,null,null
3162,EN3162,1,In-turned,North east,null,null
3162,EN3162,2,Other Forms,West,Causeway across ditch,null
3163,EN3163,1,Out-turned,South,null,null
3166,SC3166,1,Oblique,South east,Rock-cut passage cutting obliquely across the line of the wall to expose the visitors right side,null
3166,SC3166,1,Simple Gap,South east,null,null
3166,SC3166,1,Hollow Way,South east,null,null
3166,SC3166,2,Oblique,North west,"Rock-cut passage cutting obliquely across the line of the wall to expose the visitors right side, and containing modern steps",null
3166,SC3166,2,Simple Gap,North west,null,null
3167,SC3167,1,Simple Gap,South,null,null
3170,SC3170,1,Simple Gap,South,null,null
3171,SC3171,1,Simple Gap,South east,null,null
3171,SC3171,1,Simple Gap,West,null,null
3176,SC3176,1,Simple Gap,East,null,null
3176,SC3176,2,Simple Gap,West,Not mentioned in the RCAHMS description of 1952 and dismissed by the OS in 1967. Accepted by SH in 1991 and subsequently shown by Cavers on a plan drawn up by AOC Archaeology in 2015,null
3177,SC3177,1,Simple Gap,North east,null,null
3178,SC3178,1,Simple Gap,East,Excavated by A H A Hogg (1951),null
3179,SC3179,1,Simple Gap,East,null,null
3180,SC3180,1,Other Forms,East,No details recorded,null
3181,SC3181,1,Oblique,South east,Staggered gaps. Oblique approach exposing right side,null
3181,SC3181,1,Simple Gap,South east,null,null
3183,EN3183,1,In-turned,South east,null,null
3183,EN3183,2,Simple Gap,North west,Conjecture only.,null
3184,EN3184,1,In-turned,South west,null,null
3185,EN3185,1,Simple Gap,East,Between c. 900 BC - 650 BC.,null
3185,EN3185,2,In-turned,East,Between 650 BC and 450 BC.,null
3186,EN3186,1,In-turned,North west,null,null
3187,EN3187,1,In-turned,North west,Various phases.,null
3187,EN3187,2,Simple Gap,South east,null,null
3188,EN3188,1,Simple Gap,South east,null,null
3189,EN3189,1,In-turned,North east,"Long passageway of dry-stone walling, narrowing from c. 5m wide at outer rampart to c. 2.5m wide at end of inner. Gate located about two-thirds of way down, with postholes found in Varley's 1934-35 excavations.",null
3189,EN3189,2,Simple Gap,South,null,null
3192,EN3192,1,Simple Gap,South,null,null
3200,EN3200,1,Simple Gap,East,null,null
3202,SC3202,1,Simple Gap,East,null,null
3203,SC3203,1,Passage-way/Corridor,North east,Outer ramparts return and unite to line the entrance way,null
3204,SC3204,1,Simple Gap,East,Approached by a hollowed trackway,null
3204,SC3204,1,Hollow Way,East,null,null
3204,SC3204,2,Simple Gap,South,Mentioned by RCAHMS in 1954; probably on the line of the modern path,null
3204,SC3204,3,Simple Gap,West,Opens into a shallow hollow,null
3204,SC3204,3,Hollow Way,West,null,null
3204,SC3204,4,Simple Gap,North west,RCAHMS in 1954 speculated that there was an entrance where the wall petered out at the WNW extremity,null
3206,SC3206,1,Passage-way/Corridor,South,The ramparts return and unite around the terminals of the ditch,null
3207,SC3207,1,Simple Gap,West,null,null
3208,SC3208,1,Simple Gap,South west,Pierces both ramparts,null
3208,SC3208,2,Oblique,East,Staggered gaps. Oblique approach exposing left side.,null
3208,SC3208,2,Simple Gap,East,null,null
3209,SC3209,1,Other Forms,North west,A complicated arrangement of banks noted by Curle in 1912 is incomprehensible today,null
3210,SC3210,1,Simple Gap,East,"Through the later settlement, but possibly reusing an earlier gap",null
3210,SC3210,2,Simple Gap,South west,Causeway across the ditch,null
3211,SC3211,1,Oblique,East,Oblique approach exposing left side by a trackway piercing the outer defences on the NE,null
3211,SC3211,1,Simple Gap,East,"Opposed terminals on the inner circuit, though the outer rampart appears to turn inwards on one side",null
3212,SC3212,1,Passage-way/Corridor,East,The ramparts return and unite around the terminals of the ditch,null
3213,SC3213,1,Passage-way/Corridor,South west,Ramparts return and unite around the terminals of the ditch,null
3214,SC3214,1,Simple Gap,South,"Pierced by a hollowed trackway, one branch of which is certainly later and traverses the interior to wards the NNE",null
3215,SC3215,1,Simple Gap,East,Evidence of wear,null
3215,SC3215,1,Hollow Way,East,Unclear whether this is a later trackway traversing the site through both entrances,null
3215,SC3215,2,Simple Gap,West,Evidence of wear,null
3215,SC3215,2,Hollow Way,West,null,null
3216,SC3216,1,Simple Gap,North,In Fort rampart,null
3216,SC3216,2,Simple Gap,East,In enclosure bank,null
3216,SC3216,3,Simple Gap,South,"In enclosure bank, which may also belong to the earlier fort, and might equally have served the latest enclosure formed in the third phase at this end of the fort",null
3216,SC3216,4,Simple Gap,West,In enclosure bank,null
3217,SC3217,1,In-turned,South east,"Shallow inturns to either side of a trackway, possibly caused by the oblique approach of a trackway exposing the left side",null
3217,SC3217,1,Oblique,South east,null,null
3217,SC3217,2,Passage-way/Corridor,West,A hollowed track leading between the terminals of three ramparts,null
3217,SC3217,2,Oblique,West,Slightly oblique approach exposing the right side,null
3219,IOM3219,1,In-turned,East,Probable main gate.,null
3219,IOM3219,2,Simple Gap,North west,Postern gate.,null
3220,IOM3220,1,Simple Gap,North east,Entrance to NE summit enclosure.,null
3221,IOM3221,1,Simple Gap,North east,Causewayed.,null
3222,IOM3222,1,Out-turned,West,null,null
3222,IOM3222,2,Simple Gap,North east,Uncertain.,null
3222,IOM3222,3,Simple Gap,South east,Uncertain.,null
3225,SC3225,1,Simple Gap,North east,Into summit enclosure,null
3225,SC3225,2,Simple Gap,South west,marked by causeway across the ditch below the summit enclosure,null
3226,SC3226,1,Oblique,East,Slightly staggered gaps. Oblique approach exposing right side.,null
3226,SC3226,1,Simple Gap,East,Opposed terminals in all ramparts,null
3227,SC3227,1,Simple Gap,North,Possibly an insertion when a later enclosure was built over the outer rampart at this point,null
3227,SC3227,2,Simple Gap,North east,Through inner rampart,null
3227,SC3227,3,Passage-way/Corridor,South west,The outer rampart possibly returns on either side of the gap,null
3229,SC3229,1,Oblique,East,Slightly staggered gaps. Oblique approach exposing left side,null
3229,SC3229,2,Passage-way/Corridor,North west,Dogleg where the outer rampart returns on one side of the entrance,null
3230,SC3230,1,Simple Gap,North east,Possibly displaying evidence of two phases,null
3233,SC3233,1,Passage-way/Corridor,North,The outer rampart of the earlier defences turns in to form one side of an entrance way along the lip of the natural slope,null
3233,SC3233,2,Over-lapping,South west,The inner rampart turns inwards to stagger the terminals. Oblique approach exposing right side,null
3233,SC3233,2,Simple Gap,South west,"Entrance 2, in the outer ramparts of the earlier fort, leads to a gap in the later defences",null
3233,SC3233,2,Oblique,South west,null,null
3234,SC3234,1,Simple Gap,North east,"Through the inner wall, which possibly belongs to a secondary phase",null
3235,SC3235,1,Simple Gap,South west,Through both ramparts,null
3236,SC3236,1,Simple Gap,North east,probably through both the outermost and innermost circuits,null
3236,SC3236,2,Oblique,South east,In a shallow re-entrant formed adjacent an angle in the circuit where the rampart on the N effectively turns inwards. Oblique approach exposing right side.,null
3236,SC3236,3,Simple Gap,South west,A broad gap in a similar location to Entrance 2. Oblique approach exposing left side,null
3236,SC3236,4,Simple Gap,West,A gap in the innermost circuit,null
3237,SC3237,1,Simple Gap,North east,Piercing all the ramparts,null
3238,SC3238,1,Simple Gap,South west,single gap in the inner rampart and the outer is missing in this sector,null
3239,SC3239,1,Simple Gap,North,Gap through all three ramparts adjacent to overlying enclosures,null
3239,SC3239,2,Simple Gap,South,Fragmentary gap in middle rampart suggested by RCAHMS investigators,null
3241,SC3241,1,Simple Gap,East,null,null
3241,SC3241,2,Simple Gap,West,null,null
3243,SC3243,1,Simple Gap,North,null,null
3243,SC3243,2,Simple Gap,West,null,null
3245,SC3245,1,Oblique,North east,Oblique approach exposing right side,null
3245,SC3245,2,Simple Gap,North west,Flanked on one side by three ramparts and on the other by only two.,null
3246,SC3246,1,Passage-way/Corridor,North east,Ramparts return and unite around the terminals of the ditch,null
3247,SC3247,1,Simple Gap,North east,null,null
3248,SC3248,1,Simple Gap,North east,null,null
3248,SC3248,2,Simple Gap,South west,null,null
3249,SC3249,1,Simple Gap,North east,null,null
3250,SC3250,1,Simple Gap,North east,null,null
3250,SC3250,2,Oblique,South west,Staggered gaps. Oblique approach exposing left side,null
3250,SC3250,2,Simple Gap,South west,Opposed terminals in both ramparts,null
3251,SC3251,1,Passage-way/Corridor,South east,Pierces three ramparts and has a return around the terminal of the ditch on one side,null
3251,SC3251,2,Simple Gap,West,In the innermost without clear evidence of a break in the outer defences.,null
3252,EN3252,1,In-turned,North east,Inner rampart,null
3252,EN3252,1,Simple Gap,North east,Outer rampart,null
3253,SC3253,1,Passage-way/Corridor,East,The ramparts return and unite around the terminals of the ditch,null
3254,EN3254,1,In-turned,South west,Inner rampart,null
3254,EN3254,2,In-turned,South west,Outer rampart,null
3254,EN3254,2,Simple Gap,North east,Inner rampart,null
3255,EN3255,1,Simple Gap,South east,null,null
3255,EN3255,2,Simple Gap,South east,Now blocked,null
3256,EN3256,1,Simple Gap,South,null,null
3257,SC3257,1,Simple Gap,West,null,null
3258,EN3258,1,Simple Gap,North east,null,null
3259,EN3259,1,In-turned,North west,null,null
3260,EN3260,1,Simple Gap,East,null,null
3261,SC3261,1,Simple Gap,East,In 1948 the RCAHMS investigators suggested this was secondary,null
3261,SC3261,2,Simple Gap,North west,null,null
3262,SC3262,1,Simple Gap,East,Through the outer rampart,null
3262,SC3262,1,Simple Gap,East,"Probably a gap in the inner rampart, but heavily disrupted and not opposite the gap in the outer",null
3262,SC3262,2,Simple Gap,West,In the inner rmapart,null
3263,SC3263,1,Simple Gap,East,null,null
3264,SC3264,1,Simple Gap,North east,null,null
3264,SC3264,2,Simple Gap,South west,null,null
3265,SC3265,1,Simple Gap,South west,Formed between the terminals of the defences and the margin of the promontory,null
3266,SC3266,1,Simple Gap,North east,null,null
3266,SC3266,2,Other Forms,North west,Ramp leading up to the undefended NW side,null
3267,SC3267,1,Simple Gap,South west,null,null
3268,SC3268,1,Simple Gap,North east,Pierces all three ramparts,null
3269,SC3269,1,Simple Gap,North east,Broad gap in the cropmarks,null
3270,SC3270,1,Simple Gap,North east,Probably at the point where the demolition of the ramparts begins,null
3272,SC3272,1,Oblique,East,"Possibly a later feature, but a track mounts the slope. Oblique approach exposing right side",null
3272,SC3272,1,Simple Gap,East,null,null
3272,SC3272,2,Simple Gap,South west,null,null
3273,SC3273,1,Simple Gap,South,null,null
3274,SC3274,1,Oblique,West,Staggered gaps. Oblique approach exposing right side,null
3274,SC3274,1,Simple Gap,West,null,null
3275,SC3275,1,Passage-way/Corridor,North east,Ramparts return and unite around the terminals of the ditch,null
3275,SC3275,2,Passage-way/Corridor,West,Ramparts return and unite around the terminals of the ditch,null
3276,SC3276,1,Simple Gap,South east,only the SW terminal of the inner rampart remains,null
3277,SC3277,1,Oblique,South west,A gap in the inner rampart. Oblique approach exposing right side,null
3277,SC3277,1,Simple Gap,South west,null,null
3277,SC3277,2,Simple Gap,North east,Marked by the surviving S terminal of the outer rampart,null
3278,SC3278,1,Simple Gap,North west,null,null
3280,SC3280,1,Simple Gap,South east,null,null
3280,SC3280,2,Simple Gap,West,null,null
3281,SC3281,1,Simple Gap,North west,null,null
3282,SC3282,1,Simple Gap,North east,Into citadel,null
3282,SC3282,2,Simple Gap,South,From citadel into the annexe,null
3282,SC3282,3,Simple Gap,South west,Well-defined entrance with worn track into the annexe,null
3282,SC3282,4,Simple Gap,North,Broad gap in the outermost enclosure formed by a natural gully,null
3282,SC3282,5,Simple Gap,North,Defined gap within a second natural gully,null
3282,SC3282,6,Oblique,South,Worn track. Oblique approach to slightly staggered rampart terminals exposing left side,null
3283,SC3283,1,Simple Gap,West,Detail of the ditch terminals is obscured,null
3284,SC3284,1,Simple Gap,North east,null,null
3285,SC3285,1,Simple Gap,North east,null,null
3285,SC3285,2,Simple Gap,South west,null,null
3285,SC3285,3,Simple Gap,South,Diffuse mark crossing both ditches,null
3287,SC3287,1,Simple Gap,East,null,null
3289,SC3289,1,Simple Gap,North east,Probable entrance but obliterated by a later track,null
3289,SC3289,2,Simple Gap,West,"Possibly later, associated with the late Iron Age settlement",null
3292,SC3292,1,Simple Gap,West,null,null
3293,SC3293,1,Passage-way/Corridor,North east,The ramparts return and unite around the terminals of the ditches,null
3294,SC3294,1,In-turned,North,Through the innermost wall,null
3294,SC3294,2,Oblique,East,"Through the innermost wall, one side turning inwards. Oblique approach exposing left side",null
